memorial_id,url,url_type,field_path,link_purpose,specificity,domain,date_added,added_by,last_verified_date,last_http_status,last_result,action_needed,date_fixed,notes
mundford-mk773,https://www.thetfordandbrandontimes.co.uk/news/21847427.memorial-bomber-crew-dedicated/,external_narrative,.external_narratives[3].original_url,,specific,thetfordandbrandontimes.co.uk,,holly,2026-04-06,200,OK,none,,
mundford-mk773,https://www.warmemorialsonline.org.uk/memorial/193683,source_reference,.sources[1].url,,specific,warmemorialsonline.org.uk,,holly,2026-04-06,200,OK,none,,
mynydd-mawr-aircraft-type-varies,https://militaryaircraftcrashsites.blogspot.com/p/crash-sites-in-wales.html,external_narrative,.external_narratives[1].original_url,,specific,militaryaircraftcrashsites.blogspot.com,,holly,2026-04-06,200,OK,none,,
mynydd-mawr-aircraft-type-varies,https://www.peakdistrictaircrashes.co.uk/category/crash_sites/wales/,external_narrative,.external_narratives[0].original_url,,specific,peakdistrictaircrashes.co.uk,,holly,2026-04-06,200,OK,none,,
nailstone-b-17-fortress-43-377,https://b17flyingfortress.de/en/b17/43-37776-heavenly-body/,external_narrative,.external_narratives[2].original_url,,specific,b17flyingfortress.de,,holly,2026-04-06,200,OK,none,,
nailstone-b-17-fortress-43-377,https://www.americanairmuseum.com/aircraft/11782,external_narrative,.external_narratives[3].original_url,,specific,americanairmuseum.com,,holly,2026-04-06,200,OK,none,,
nailstone-b-17-fortress-43-377,https://www.iwm.org.uk/memorials/item/memorial/50741,external_narrative,.external_narratives[4].original_url,,specific,iwm.org.uk,,holly,2026-04-06,200,OK,none,,
nailstone-b-17-fortress-43-377,https://www.peakdistrictaircrashes.co.uk/crash_sites/midlands/boeing-b-17g-43-37776-nailstone/,external_narrative,.external_narratives[1].original_url,,specific,peakdistrictaircrashes.co.uk,,holly,2026-04-06,200,OK,none,,
nailstone-b-17-fortress-43-377,https://www.uswarmemorials.org/html/monument_details.php?SiteID=2135&MemID=2801,external_narrative,.external_narratives[0].original_url,,specific,uswarmemorials.org,,holly,2026-04-06,200,OK,none,,
nanton-bomber-command-museum,https://bombercommandmuseum.ca/,external_narrative,.external_narratives[1].original_url,,specific,bombercommandmuseum.ca,,holly,2026-04-06,200,OK,none,,
nanton-bomber-command-museum,https://en.wikipedia.org/wiki/Bomber_Command_Museum_of_Canada,external_narrative,.external_narratives[0].original_url,,specific,en.wikipedia.org,,holly,2026-04-06,200,OK,none,,
nanton-bomber-command-museum,https://www.veterans.gc.ca/en/remembrance/memorials/canada/nanton-lancaster-air-museum-bomber-command-memorial,external_narrative,.external_narratives[2].original_url,,specific,veterans.gc.ca,,holly,2026-04-06,200,OK,none,,
near-sheldon-village-w5795,http://macr.moonfruit.com/wellington-w5795/4530120426,external_narrative,.external_narratives[2].original_url,,specific,macr.moonfruit.com,,holly,2026-04-06,200,OK,none,,
near-sheldon-village-w5795,https://aviation-safety.net/wikibase/167908,external_narrative,.external_narratives[3].original_url,,specific,aviation-safety.net,,holly,2026-04-06,200,OK,none,,
near-sheldon-village-w5795,https://www.warmemorials.org/search-grants/?gID=151,external_narrative,.external_narratives[1].original_url,,specific,warmemorials.org,,holly,2026-04-06,200,OK,none,,
near-sheldon-village-w5795,https://www.warmemorialsonline.org.uk/memorial/70206,external_narrative,.external_narratives[0].original_url,,specific,warmemorialsonline.org.uk,,holly,2026-04-06,200,OK,none,,
normandy-bomber-crew-memorial,https://www.britishnormandymemorial.org/,external_narrative,.external_narratives[0].original_url,,specific,britishnormandymemorial.org,,holly,2026-04-06,200,OK,none,,
normandy-bomber-crew-memorial,https://www.cwgc.org/our-work/blog/d-day-memorials-ww2-a-visitor-s-guide/,external_narrative,.external_narratives[2].original_url,,specific,cwgc.org,,holly,2026-04-06,200,OK,none,,
normandy-bomber-crew-memorial,https://www.normandywarguide.com/place/memorial-to-french-bomber-crews,external_narrative,.external_narratives[1].original_url,,specific,normandywarguide.com,,holly,2026-04-06,200,OK,none,,
north-kelsey-moor-lancaster-r-5672,https://losses.internationalbcc.co.uk/loss/103618/,external_narrative,.external_narratives[2].original_url,,specific,losses.internationalbcc.co.uk,,holly,2026-04-06,200,OK,none,,
north-kelsey-moor-lancaster-r-5672,https://www.iwm.org.uk/memorials/item/memorial/68189,external_narrative,.external_narratives[1].original_url,,specific,iwm.org.uk,,holly,2026-04-06,200,OK,none,,
north-kelsey-moor-lancaster-r-5672,https://www.lincolnshireworld.com/news/people/a-tragic-accident-in-april-1944-at-caistor-2039002,external_narrative,.external_narratives[0].original_url,,specific,lincolnshireworld.com,,holly,2026-04-06,200,OK,none,,
north-kelsey-moor-lancaster-r-5672,https://www.northlincsweb.net/RAFElshamWolds/html/8th_april_1944_-_no_1_lancaster_finishing_school_raf_hemswell_-_.html,external_narrative,.external_narratives[3].original_url,,specific,northlincsweb.net,,holly,2026-04-06,200,OK,none,,
north-lopham-mid-air-collision-b-17-44-6137-the-abo,https://aviationtrails.co.uk/2015/11/22/two-b17s-collide-near-raf-snetterton-heath-station-138/,external_narrative,.external_narratives[0].original_url,,specific,aviationtrails.co.uk,,holly,2026-04-06,200,OK,none,,
north-lopham-mid-air-collision-b-17-44-6137-the-abo,https://www.americanairmuseum.com/archive/unit/96th-bomb-group,external_narrative,.external_narratives[2].original_url,,specific,americanairmuseum.com,,holly,2026-04-06,200,OK,none,,
north-lopham-mid-air-collision-b-17-44-6137-the-abo,https://www.iwm.org.uk/memorials/item/memorial/56245,external_narrative,.external_narratives[1].original_url,,specific,iwm.org.uk,,holly,2026-04-06,200,OK,none,,
north-rauceby-wellington-t-2834,https://aircrewremembered.com/rath-henry-eric.html,external_narrative,.external_narratives[0].original_url,,specific,aircrewremembered.com,,holly,2026-04-06,200,OK,none,,
north-rauceby-wellington-t-2834,https://www.rafcommands.com/archive/12689.php/,external_narrative,.external_narratives[1].original_url,,specific,rafcommands.com,,holly,2026-04-06,200,OK,none,,
north-thoresby-ed583,https://aircrewremembered.com/morgan-thomas.html,external_narrative,.external_narratives[0].original_url,,specific,aircrewremembered.com,,holly,2026-04-06,200,OK,none,,
north-thoresby-ed583,https://www.findagrave.com/memorial/154611699/john-hill-rogers,external_narrative,.external_narratives[3].original_url,,specific,findagrave.com,,holly,2026-04-06,200,OK,none,,
north-thoresby-ed583,https://www.iwm.org.uk/memorials/item/memorial/54038,external_narrative,.external_narratives[2].original_url,,specific,iwm.org.uk,,holly,2026-04-06,200,OK,none,,
north-thoresby-ed583,https://www.warmemorialsonline.org.uk/memorial/263918/,external_narrative,.external_narratives[1].original_url,,specific,warmemorialsonline.org.uk,,holly,2026-04-06,200,OK,none,,
old-leake-wellington-w-5667,https://100548.activeboard.com/t59855755/wellington-crash-at-old-leake-lincs-7-february-1943/,external_narrative,.external_narratives[0].original_url,,specific,100548.activeboard.com,,holly,2026-04-06,200,OK,none,,
old-leake-wellington-w-5667,https://www.geograph.org.uk/article/East-Anglia-World-War-Two-Aircrew-Crash-Memorials/7,external_narrative,.external_narratives[2].original_url,,specific,geograph.org.uk,,holly,2026-04-06,200,OK,none,,
old-leake-wellington-w-5667,https://www.yorkshire-aircraft.co.uk/aircraft/yorkshire/york41/w5667.html,external_narrative,.external_narratives[1].original_url,,specific,yorkshire-aircraft.co.uk,,holly,2026-04-06,200,OK,none,,
pen-yr-ole-wen-n9855,https://aircrashsites.co.uk/raf-crash-sites-1942-1945/dsc-3/,external_narrative,.external_narratives[1].original_url,,specific,aircrashsites.co.uk,,holly,2026-04-06,200,OK,none,,
pen-yr-ole-wen-n9855,https://aviation-safety.net/wikibase/27996,external_narrative,.external_narratives[3].original_url,,specific,aviation-safety.net,,holly,2026-04-06,200,OK,none,,
pen-yr-ole-wen-n9855,https://www.geograph.org.uk/photo/2912123,external_narrative,.external_narratives[2].original_url,,specific,geograph.org.uk,,holly,2026-04-06,200,OK,none,,
pen-yr-ole-wen-n9855,https://www.peakdistrictaircrashes.co.uk/crash_sites/wales/avro-anson-n9855-pen-yr-ole-wen/,external_narrative,.external_narratives[0].original_url,,specific,peakdistrictaircrashes.co.uk,,holly,2026-04-06,200,OK,none,,
pidley-dk300,https://raf-pathfinders.com/mosquito-squadron-crews-and-related-topics/,external_narrative,.external_narratives[0].original_url,,specific,raf-pathfinders.com,,holly,2026-04-06,200,OK,none,,
plungar-ed549,https://aviation-safety.net/wikibase/205323,external_narrative,.external_narratives[5].original_url,,specific,aviation-safety.net,,holly,2026-04-06,200,OK,none,,
plungar-ed549,https://www.iwm.org.uk/memorials/item/memorial/80471,external_narrative,.external_narratives[0].original_url,,specific,iwm.org.uk,,holly,2026-04-06,200,OK,none,,
plungar-ed549,https://www.warmemorialsonline.org.uk/memorial/260911,external_narrative,.external_narratives[2].original_url,,specific,warmemorialsonline.org.uk,,holly,2026-04-06,200,OK,none,,
pocklington-ed393,http://www.no-50-and-no-61-squadrons-association.co.uk/the-memorials/uk-european-memorials/ed393-vn-k-pocklington/,external_narrative,.external_narratives[2].original_url,,specific,no-50-and-no-61-squadrons-association.co.uk,,holly,2026-04-06,200,OK,none,,
pocklington-ed393,https://pocklingtonhistory.com/history/20thcentury/pocklingtoninww2/crashes/index.php,external_narrative,.external_narratives[3].original_url,,specific,pocklingtonhistory.com,,holly,2026-04-06,200,OK,none,,
pocklington-ed393,https://rafweb.org/Badges/RAFHT/50.jpg,other,.squadron_badge_url,,specific,rafweb.org,,holly,2026-04-06,200,OK,none,,
pocklington-ed393,https://www.iwm.org.uk/memorials/item/memorial/99090,external_narrative,.external_narratives[0].original_url,,specific,iwm.org.uk,,holly,2026-04-06,200,OK,none,,
